token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
18431,BIGBLOC-EQ,BIGBLOC,,-1.000000,1,,NSE,5.000000
11966,BIKAJI-EQ,BIKAJI,,-1.000000,1,,NSE,5.000000
13625,BINANIIND-EQ,BINANIIND,,-1.000000,1,,NSE,1.000000
11373,BIOCON-EQ,BIOCON,,-1.000000,1,,NSE,5.000000
4136,BIOFILCHEM-EQ,BIOFILCHEM,,-1.000000,1,,NSE,1.000000
477,BIRLACABLE-EQ,BIRLACABLE,,-1.000000,1,,NSE,5.000000
480,BIRLACORPN-EQ,BIRLACORPN,,-1.000000,1,,NSE,5.000000
15239,BIRLAMONEY-EQ,BIRLAMONEY,,-1.000000,1,,NSE,1.000000
15067,BLAL-EQ,BLAL,,-1.000000,1,,NSE,5.000000
19265,BLISSGVS-EQ,BLISSGVS,,-1.000000,1,,NSE,1.000000
13290,BLKASHYAP-EQ,BLKASHYAP,,-1.000000,1,,NSE,1.000000
17279,BLS-EQ,BLS,,-1.000000,1,,NSE,5.000000
22566,BLSE-EQ,BLSE,,-1.000000,1,,NSE,1.000000
495,BLUEDART-EQ,BLUEDART,,-1.000000,1,,NSE,5.000000
19686,BLUEJET-EQ,BLUEJET,,-1.000000,1,,NSE,5.000000
8311,BLUESTARCO-EQ,BLUESTARCO,,-1.000000,1,,NSE,5.000000
25017,BODALCHEM-EQ,BODALCHEM,,-1.000000,1,,NSE,1.000000
513,BOMDYEING-EQ,BOMDYEING,,-1.000000,1,,NSE,1.000000
19401,BOROLTD-EQ,BOROLTD,,-1.000000,1,,NSE,5.000000
3149,BORORENEW-EQ,BORORENEW,,-1.000000,1,,NSE,5.000000
24014,BOROSCI-EQ,BOROSCI,,-1.000000,1,,NSE,1.000000
2181,BOSCHLTD-EQ,BOSCHLTD,,-1.000000,1,,NSE,5.000000
526,BPCL-EQ,BPCL,,-1.000000,1,,NSE,5.000000
15184,BRIGADE-EQ,BRIGADE,,-1.000000,1,,NSE,5.000000
547,BRITANNIA-EQ,BRITANNIA,,-1.000000,1,,NSE,5.000000
25136,BROOKS-EQ,BROOKS,,-1.000000,1,,NSE,1.000000
19585,BSE-EQ,BSE,,-1.000000,1,,NSE,5.000000
3001,BSE500IETF-EQ,BSE500IETF,,-1.000000,1,,NSE,1.000000
809,BSHSL-EQ,BSHSL,,-1.000000,1,,NSE,1.000000
559,BSL-EQ,BSL,,-1.000000,1,,NSE,1.000000
23804,BSLGOLDETF-EQ,BSLGOLDETF,,-1.000000,1,,NSE,1.000000
24781,BSLNIFTY-EQ,BSLNIFTY,,-1.000000,1,,NSE,1.000000
5957,BSLSENETFG-EQ,BSLSENETFG,,-1.000000,1,,NSE,1.000000
6994,BSOFT-EQ,BSOFT,,-1.000000,1,,NSE,5.000000
2716,BUTTERFLY-EQ,BUTTERFLY,,-1.000000,1,,NSE,5.000000
15073,BVCL-EQ,BVCL,,-1.000000,1,,NSE,1.000000
8341,CALSOFT-EQ,CALSOFT,,-1.000000,1,,NSE,1.000000
